Date/Time Reported,	Case Number,	Incident Type,	Location,	Disposition,
3/17/25	2025-01222	Retail Theft	3330 Market St	Active
3/17/25	2025-01217	Aggravated Assault-gun	4100 Spruce St	Active
3/17/25	2025-01215	Auto Theft	3730 Walnut St	Active
3/17/25	2025-01207	Retail Theft	3601 Walnut St	Active
3/17/25	2025-01205	Theft From Building	3730 Walnut St	Active
3/17/25	2025-01203	Theft From Building	305-307 S 40th St	Active
3/17/25	2025-01201	Fraud	3720 Chestnut St	Active
3/16/25	2025-01199	Retail Theft	3330 Market St	
3/16/25	2025-01198	Retail Theft	3330 Market St	
3/15/25	2025-01197	Bike Theft	3300 Market St	Active
3/15/25	2025-01196	Retail Theft	4233 Chestnut St	Active
3/14/25	2025-01194	Robbery Retail	4233 Chestnut St	Active
3/14/25	2025-01193	Theft From Vehicle	3100 Walnut St	Active
3/14/25	2025-01192	Retail Theft	3330 Market St	
3/15/25	2025-01174	Aggravated Assault	4200 Chestnut St	
3/15/25	2025-01172	Vandalism	210 S 40th St	Active
3/14/25	2025-01167	Theft From Building	121 S 41st St	Active
3/13/25	2025-01158	Retail Theft	3330 Market St	Active
3/13/25	2025-01157	Retail Theft	3604 Chestnut St	Active
3/13/25	2025-01156	Retail Theft	4233 Chestnut St	Active
3/13/25	2025-01155	Retail Theft	3330 Market St	Active
3/13/25	2025-01147	Theft From Building	3549 Chestnut St	Active
3/13/25	2025-01145	Auto Theft	1 Convention Ave	Active
3/13/25	2025-01136	Theft Other	3420 Walnut St	
3/12/25	2025-01118	Disorderly Conduct	4002 Chestnut St	
3/11/25	2025-01115	Retail Theft	3330 Market St	Active
3/11/25	2025-01113	Assault	3400 Chestnut St	
3/11/25	2025-01104	Assault	3549 Chestnut St	Active
3/10/25	2025-01100	Retail Theft	4233 Chestnut St	Active
3/10/25	2025-01099	Retail Theft	4233 Chestnut St	Active
3/11/25	2025-01098	Auto Theft	3300 Walnut St	Active
3/9/25	2025-01091	Retail Theft	4233 Chestnut St	Active
3/8/25	2025-01090	Retail Theft	3330 Market St	
3/9/25	2025-01089	Theft Other	3200 Chestnut St	Active
3/7/25	2025-01088	Assault	3200 Chestnut St	Active
3/7/25	2025-01087	Theft Other	3400 Civic Center Blvd	Active
3/9/25	2025-01076	Auto Theft	2929 Walnut St	Active
3/9/25	2025-01069	Assault	200 S 43rd St	Active
3/9/25	2025-01067	Theft From Building	3901 Locust Walk	Active
3/8/25	2025-01059	Auto Theft	4000 Locust St	Active
3/7/25	2025-01052	Vandalism	3400 Spruce St	Active
3/6/25	2025-01049	Retail Theft	3330 Market St	Active
3/6/25	2025-01048	Retail Theft	3330 Market St	Active
3/6/25	2025-01034	Theft From Building	209 S 33rd St	Active
3/6/25	2025-01027	Retail Theft	3604 Chestnut St	Active
3/6/25	2025-01025	Fraud	3737 Chestnut St	Active
3/5/25	2025-01023	Retail Theft	3330 Market St	Active
3/4/25	2025-01011	Theft From Building	3100 Market St	Active
3/4/25	2025-00989	Theft From Building	3131 Walnut St	Active
3/3/25	2025-00988	Theft From Vehicle	3550 Market St	Active
3/3/25	2025-00987	Retail Theft	3330 Market St	
3/3/25	2025-00981	Theft From Building	2930 Chestnut St	Active
3/3/25	2025-00979	Theft From Building	3730 Walnut St	Active
3/2/25	2025-00966	Harassment	3300 Walnut St	Active
3/2/25	2025-00965	Theft From Building	4210 Chestnut St	Active
3/2/25	2025-00962	Harassment	3300 Walnut St	Active
3/2/25	2025-00955	Robbery-gun	16 S 40th St	Active
